age,dec,inc,lat,lon
700,2.9,72,49.3,9.5
700,356.4,73.1,50.5,5.3
700,2.8,71.7,49.3,2.7
700,6.5,68.2,49.3,2.7
700,15.4,63.7,54.98,358.52
725,21.4,71.6,49.3,0.9
750,21.1,70.7,50.6,5.7
757,13.2,69.9,51.1,0
770,11.8,67.5,52.1,1.5
775,10.2,71.2,47.5,7.6
783,40.5,71.5,50.9,358.6
787,14.2,73,50.8,6.9
790,16.8,50.4,43.6,358.9
791,8.8,69.8,52.33,7.99
800,5.2,70,47.9,1.9
800,342.7,70,47.4,17
800,5,65.6,47.68,16.62
800,3,66.1,47.68,16.62
800,358.3,70.3,47.68,16.62
800,345.5,72.6,47.68,16.62
800,28.8,73.5,51.68,10.27
800,11.5,73,51.68,10.27
800,18.7,68.4,51.5,0.1
800,358.8,71.9,51.51,359.88
820,5.3,66.1,47.9,1.9
825,7.8,72.7,47.9,1.9
825,14,60.8,53.3,0.3
826,17.2,67.7,53.83,8.66
827,22.1,58.8,40.82,14.25
850,4.8,75.6,50.8,6.9
850,11.7,70.7,51.5,359.9
850,15.9,68.9,52.7985,357.8541
850,27.3,62.2,45.13,10.37
865,13,71,49,2.5
868,14.4,72.4,52.13,11.64
875,3,50.5,43.2,2.3
875,8.6,73.4,50.8,6.9
875,16.1,68.3,53.8,359.9
875,20.1,60.8,49.7,5.9
893,22.2,64.8,40.82,14.25
893,19.3,61.3,40.82,14.25
900,16.9,67.2,53.8,359.9
900,12.5,70.2,51.49,12.21
910,14.3,69.2,53.8,359.9
920,20.8,69.7,53.8,359.9
920,23.3,65.6,48.5,357.2
925,24.4,70.3,51.4,359.9
930,27.9,70,53.3,359.2
950,22.1,66.8,51.1,358.7
950,19.4,70.3,51.5,359.9
950,340.9,69.8,51.2,357.4
950,32.4,73.4,51.2,357.4
950,326.9,64.9,51.2,357.4
950,295.3,78.6,51.2,357.4
950,6.6,66.4,53.8,359.9
950,14.2,61.3,51.78,358.62
950,18.4,63.6,51.78,358.62
950,19.9,62,51.78,358.62
950,14.9,62.6,45.73,9.13
950,20.2,63.1,47.2,359.7
950,15.7,59.1,47.2,359.7
950,16.6,69.2,48.4,3
950,19.9,65.6,49.4,2
950,11.5,70.2,47.68,16.62
950,28.7,68.9,47.68,16.62
950,9.2,69.7,47.68,16.62
950,25,68,52.25,10.42
950,22.5,66.2,50.6,5.6
953,10.7,73.6,53.52,8.33
956,13.5,68.2,51.4,12.44
958,24.7,65.8,51.89,10.25
962,21.5,65.3,50,2.9
970,22.8,68.2,48,16.5
970,22.8,68.2,47.73,16.52
975,33.7,70.3,51.5,359.9
975,20.1,64.2,48.4,3
983,34.2,65.2,50.8,359.2
990,16.9,60.2,47.37,8.54
1000,19.5,66.3,52.4,0.7
1000,21.4,65.7,52.4,0.7
1000,25.6,65,52.4,0.7
1000,22.5,67.2,52.4,0.7
1000,26.7,66.3,52.4,0.7
1000,23.9,65.9,52.4,0.7
1000,22.1,70.4,53.3,359.3
1000,29.2,67,51.8,358.7
1000,24.7,67.4,52,1.1
1000,25,65.9,52.7,359.5
1000,9.7,70.7,50.83,6.9
1000,26.5,65.9,51.68,10.27
1000,20.7,65.9,47.7,17
1000,9.7,70.8,48.4,3
1000,14.5,69.4,48.4,3
1000,10.9,70.2,48.4,3
1000,19.6,68,50.6,3.1
1007,22.8,55.1,40.82,14.25
1023,13.6,63.8,51.94,10.42
1025,34.1,63.6,47.4,16.74
1025,32.3,67.1,47.4,16.74
1025,28.9,67.1,47.4,16.74
1025,24.8,66.5,47.4,16.74
1025,23,55,40.82,14.25
1025,22,65,40.82,14.25
1025,22,59,40.82,14.25
1025,20,62,40.82,14.25
1025,19,61,40.82,14.25
1025,0,54.2,50.9,358.6
1026,16.7,60.2,47.37,8.54
1030,2.9,69.5,47.13,16.66
1033,27,65.7,50.8,359.2
1033,20,67.4,50.8,359.2
1033,28.9,64.4,50.8,359.2
1036,10.5,64.8,40.82,14.25
1040,17.2,63.1,49.8,0.4
1042,40.1,65.7,53.08,8.81
1050,18.8,63.2,47.4,16.68
1050,17.5,64.7,47.4,16.68
1050,18.9,69.4,47.58,16.86
1050,18,62.6,47.58,16.86
1050,21,68.5,47.58,16.86
1050,19,75.8,47.68,16.62
1050,31.1,66.1,47.68,16.62
1050,18.2,70.4,48.88,9.12
1050,11.3,67.4,53.45,9.52
1050,23.8,62,50.4,5
1050,15,62.5,50.4,5
1050,21.8,61.8,50.5,5.1
1050,21.2,62.9,50.5,5.1
1050,19.8,63.5,50.5,5.1
1050,24.8,58.5,51.2,359.8
1050,29.4,70.1,52.6,1.3
1050,21.3,63.8,53.7,359.6
1050,16.2,63.2,47.37,8.54
1050,18,66.2,52.14,10.95
1050,15.7,59.3,47,1.6
1065,10.5,64.8,40.82,14.25
1065,6.9,63.8,40.82,14.25
1065,23,54.2,40.82,14.25
1075,17.1,70.5,51.86,10.25
1075,9.9,65.2,52.2,359.1
1075,2,64.4,51.4,359.7
1075,22.1,65.6,53.3,359.2
1079,16.4,66,52.14,10.95
1081,29.2,63.3,48.62,9.03
1084,16.9,55.4,47.37,8.54
1087,15.4,59.3,48.56,9.06
1090,10.5,66.5,50.83,6.9
1090,10.7,64.7,50.83,6.9
1090,11,64.3,47.37,8.54
1100,16,50.2,43,2.3
1100,18.1,54.6,43.9,0.7
1100,21.5,52.7,43.9,0.7
1100,22.1,57.2,43.9,0.7
1100,16.6,68,53.3,359.3
1105,10.3,63.6,52.14,12.6
1112,16.8,64,51.51,359.82
1115,15.2,71,51.1,358.7
1115,7.2,53.5,51.1,358.7
1115,19,60.9,51.7,358.8
1115,3.6,50.6,41.5,1.5
1116,9.6,45.7,41.5,1.5
1125,22.6,66.1,47.23,16.63
1125,12.6,63.8,52.8,0.5
1125,15,64.7,50.66,4.68
1125,13.4,65.6,50.66,4.68
1125,15.7,64.9,50.66,4.68
1135,14.3,60.2,47.83,12.4
1139,11.3,61.2,40.82,14.25
1145,21.7,61.6,52.2,359.7
1150,17.8,59.4,51.3,358.4
1150,5.4,59.9,51.9,0.3
1150,13.1,61.5,51.5,359.9
1150,19,44.2,51.5,359.9
1150,22.5,62.3,51.5,359.9
1150,7.1,57.4,51.5,359.9
1150,0,57.4,51.5,359.9
1150,14.2,62,51.5,359.9
1150,13.9,29.7,51.2,357.4
1150,16.1,64.5,54.9,358.2
1150,16,64.4,54.9,358.2
1150,16.2,64.7,54.9,358.2
1150,4,59.5,54.6,358.75
1150,5.1,57,54.6,358.75
1150,9,60.4,54.6,358.75
1150,359.3,59.1,54.6,358.75
1150,358,58,54.6,358.75
1150,1.4,61.1,54.6,358.75
1150,18.9,61.9,54.9,358.5
1150,15.7,58.5,43.4,6.2
1150,11.2,51.2,43.7,4.4
1150,17.5,59,44.1,4.5
1150,16.8,66.3,51.65,359.4
1150,11.3,61.2,47.83,12.4
1150,15.7,60.9,50.6,3.3
1150,10.1,63.6,51,4.1
1150,15.9,61,49.1,2.5
1159,9,45.2,41.5,1.5
1160,11.4,63.6,50.9,358.6
1160,12.9,66.9,52.7985,357.8541
1162,10.7,46.4,41.5,1.5
1163,18.5,61.8,52.3,13.27
1165,13.7,63.5,50.83,6.9
1165,19.1,55.5,45.13,10.37
1170,15.4,61.3,49.3,359.1
1175,20.5,58.5,43.9,5.3
1175,12.2,62.7,47.63,16.74
1175,19.7,58.7,47.63,16.74
1175,18,58.8,47.63,16.74
1175,16.1,61.8,50.8,0.3
1175,14.9,60,50.7,0.2
1175,13,61.7,52.7985,357.8541
1180,0.1,61.6,53.8,359.6
1185,356.1,55.6,50.6,5.6
1190,13.9,62.8,51.68,9.52
1190,8.2,59.9,49.6,0.5
1195,12.9,59.5,50.9,358.6
1195,22,56,45.13,10.37
1200,352.3,71.1,47.5,17
1200,9.7,61.3,49.3,9.5
1200,15.8,55.1,47.68,16.62
